,ESTC,RENDA,IDADE,NPARC,VBEM,IDADE X RENDA,IDADEXRENDA,faixa_etaria,ANALISE_IDADE,ANALISE_ESTC
849,1,1307,19,3,757,0,54.07083051373568,adolescente,,28 horas de estudo
1329,1,1174,19,12,916,0,48.48742953677384,adolescente,,28 horas de estudo
99,1,420,19,12,828,0,16.834163847832304,adolescente,,28 horas de estudo
1171,1,2220,19,10,747,0,92.39898909994737,adolescente,,28 horas de estudo
1484,1,400,19,6,433,0,15.994554678364358,adolescente,,28 horas de estudo
830,1,400,19,12,558,0,15.994554678364358,adolescente,,28 horas de estudo
184,1,300,19,12,459,0,11.796508831024632,adolescente,,28 horas de estudo
38,1,400,19,6,399,0,15.994554678364358,adolescente,,28 horas de estudo
1201,1,1345,19,10,618,0,55.666087935724775,adolescente,,28 horas de estudo
369,1,2220,19,10,747,0,92.39898909994737,adolescente,,28 horas de estudo
709,1,550,20,10,429,0,22.24964299090055,adulto,,28 horas de estudo
334,1,521,20,9,451,0,21.03220969517203,adulto,,28 horas de estudo
1108,1,852,20,10,1067,0,34.927741449866524,adulto,,28 horas de estudo
272,1,380,20,15,635,0,15.112965050423014,adulto,,28 horas de estudo
79,1,500,20,4,401,0,20.150620067230687,adulto,,28 horas de estudo
538,1,365,20,9,338,0,14.483258173322056,adulto,,28 horas de estudo
211,1,546,20,6,389,0,22.08172115700696,adulto,,28 horas de estudo
1269,1,300,20,12,419,0,11.754528372551235,adulto,,28 horas de estudo
268,1,320,20,9,1149,0,12.59413754201918,adulto,,28 horas de estudo
700,1,310,20,12,612,0,12.174332957285207,adulto,,28 horas de estudo
407,1,757,20,12,725,0,30.939597894893783,adulto,,28 horas de estudo
846,1,1500,21,2,591,0,62.08909808215456,adulto,,28 horas de estudo
720,1,300,21,12,398,0,11.712547914077836,adulto,,28 horas de estudo
802,1,650,21,6,333,0,26.405708379766878,adulto,,28 horas de estudo
1406,1,485,21,5,441,0,19.47893273165633,adulto,,28 horas de estudo
116,1,700,21,2,378,0,28.504731303436742,adulto,,28 horas de estudo
1421,1,300,21,10,398,0,11.712547914077836,adulto,,28 horas de estudo
333,1,540,21,6,498,0,21.78785794769318,adulto,,28 horas de estudo
895,1,500,21,5,399,0,20.10863960875729,adulto,,28 horas de estudo
398,1,600,21,10,764,0,24.306685456097014,adulto,,28 horas de estudo
1100,1,300,21,6,380,0,11.712547914077836,adulto,,28 horas de estudo
1315,1,600,21,10,618,0,24.306685456097014,adulto,,28 horas de estudo
48,1,312,21,12,499,0,12.216313415758604,adulto,,28 horas de estudo
659,1,320,21,12,497,0,12.552157083545781,adulto,,28 horas de estudo
42,1,650,21,10,480,0,26.405708379766878,adulto,,28 horas de estudo
571,1,600,21,6,479,0,24.306685456097014,adulto,,28 horas de estudo
880,1,350,21,11,595,0,13.8115708377477,adulto,,28 horas de estudo
626,1,465,21,15,413,0,18.639323562188384,adulto,,28 horas de estudo
1250,1,920,22,6,306,0,37.69845170911074,adulto,,28 horas de estudo
1256,1,335,22,12,498,0,13.139883502173344,adulto,,28 horas de estudo
938,1,1120,22,12,897,0,46.0945434037902,adulto,,28 horas de estudo
434,1,2000,22,1,384,0,83.03734686037978,adulto,,28 horas de estudo
928,1,607,22,12,483,0,24.558568206937398,adulto,,28 horas de estudo
164,1,448,22,10,445,0,17.883675309667236,adulto,,28 horas de estudo
159,1,620,22,10,427,0,25.104314167091562,adulto,,28 horas de estudo
980,1,466,22,6,672,0,18.639323562188384,adulto,,28 horas de estudo
1353,1,568,22,10,849,0,22.921330326474905,adulto,,28 horas de estudo
967,1,400,22,12,421,0,15.868613302944166,adulto,,28 horas de estudo
1012,1,498,22,10,344,0,19.982698233337096,adulto,,28 horas de estudo
1151,1,420,22,12,470,0,16.70822247241211,adulto,,28 horas de estudo
1481,1,340,22,10,340,0,13.34978579454033,adulto,,28 horas de estudo
652,1,628,22,12,459,0,25.440157834878743,adulto,,28 horas de estudo
531,1,320,22,12,421,0,12.510176625072384,adulto,,28 horas de estudo
81,1,824,22,10,515,0,33.66832769566461,adulto,,28 horas de estudo
228,1,390,22,12,468,0,15.448808718210193,adulto,,28 horas de estudo
375,1,500,23,4,552,0,20.024678691810497,adulto,,28 horas de estudo
651,1,652,23,9,528,0,26.405708379766878,adulto,,28 horas de estudo
749,1,486,23,4,339,0,19.436952273182932,adulto,,28 horas de estudo
554,1,480,23,10,398,0,19.18506952234255,adulto,,28 horas de estudo
740,1,328,23,10,350,0,12.804039834386165,adulto,,28 horas de estudo
393,1,1451,23,3,527,0,59.948094700011296,adulto,,28 horas de estudo
1330,1,1480,23,10,679,0,61.165527995739815,adulto,,28 horas de estudo
240,1,500,23,8,459,0,20.024678691810497,adulto,,28 horas de estudo
1478,1,1761,23,2,449,0,72.96203682676445,adulto,,28 horas de estudo
64,1,1000,23,6,915,0,41.014907928509125,adulto,,28 horas de estudo
1487,1,549,23,6,449,0,22.08172115700696,adulto,,28 horas de estudo
142,1,600,23,6,399,0,24.22272453915022,adulto,,28 horas de estudo
1087,1,500,23,3,311,0,20.024678691810497,adulto,,28 horas de estudo
741,1,1846,23,10,365,0,76.53037579700322,adulto,,28 horas de estudo
807,1,453,23,10,439,0,18.051597143560823,adulto,,28 horas de estudo
968,1,319,24,6,537,0,12.384235249652193,adulto,,28 horas de estudo
1141,1,566,24,12,685,0,22.75340849258132,adulto,,28 horas de estudo
1184,1,780,24,10,618,0,31.73722660588833,adulto,,28 horas de estudo
350,1,729,24,12,495,0,29.59622322374507,adulto,,28 horas de estudo
1106,1,500,24,6,376,0,19.982698233337096,adulto,,28 horas de estudo
283,1,453,24,12,1000,0,18.009616685087426,adulto,,28 horas de estudo
1195,1,351,24,10,330,0,13.727609920800905,adulto,,28 horas de estudo
1005,1,426,24,6,517,0,16.8761443063057,adulto,,28 horas de estudo
1208,1,474,24,12,798,0,18.891206313028768,adulto,,28 horas de estudo
1062,1,400,24,10,429,0,15.784652385997372,adulto,,28 horas de estudo
1320,1,436,24,10,512,0,17.29594889103967,adulto,,28 horas de estudo
262,1,2000,24,10,429,0,82.95338594343299,adulto,,28 horas de estudo
173,1,548,24,2,304,0,21.997760240060167,adulto,,28 horas de estudo
4,1,1000,24,12,809,0,40.97292747003573,adulto,,28 horas de estudo
1283,1,396,24,12,420,0,15.616730552103782,adulto,,28 horas de estudo
927,1,1550,24,3,546,0,64.06217963040423,adulto,,28 horas de estudo
878,1,1000,24,10,1281,0,40.97292747003573,adulto,,28 horas de estudo
869,1,454,24,15,735,0,18.051597143560823,adulto,,28 horas de estudo
1120,1,980,24,3,393,0,40.13331830056779,adulto,,28 horas de estudo
588,1,800,24,3,370,0,32.57683577535628,adulto,,28 horas de estudo
1327,1,602,24,3,485,0,24.264704997623618,adulto,,28 horas de estudo
47,1,600,24,12,536,0,24.180744080676824,adulto,,28 horas de estudo
55,1,400,24,12,440,0,15.784652385997372,adulto,,28 horas de estudo
521,1,313,24,15,442,0,12.132352498811809,adulto,,28 horas de estudo
661,1,350,25,6,311,0,13.643649003854112,adulto,,28 horas de estudo
61,1,1500,25,2,356,0,61.92117624826096,adulto,,28 horas de estudo
1089,1,350,25,6,528,0,13.643649003854112,adulto,,28 horas de estudo
505,1,317,25,12,508,0,12.258293874232,adulto,,28 horas de estudo
1064,1,600,25,6,396,0,24.138763622203427,adulto,,28 horas de estudo
785,1,733,25,10,980,0,29.722164599165264,adulto,,28 horas de estudo
465,1,800,25,3,336,0,32.53485531688288,adulto,,28 horas de estudo
447,1,480,25,12,445,0,19.101108605395755,adulto,,28 horas de estudo
1247,1,613,25,9,557,0,24.68450958235759,adulto,,28 horas de estudo
0,1,360,25,9,313,0,14.063453588588084,adulto,,28 horas de estudo
510,1,350,26,6,322,0,13.601668545380713,adulto,,28 horas de estudo
815,1,1850,26,1,400,0,76.5723562554766,adulto,,28 horas de estudo
545,1,620,26,12,813,0,24.936392333197976,adulto,,28 horas de estudo
1007,1,1400,26,6,500,0,57.68114994244784,adulto,,28 horas de estudo
548,1,346,26,4,399,0,13.433746711487125,adulto,,28 horas de estudo
634,1,650,26,12,1185,0,26.195806087399895,adulto,,28 horas de estudo
430,1,417,26,12,596,0,16.41435926309833,adulto,,28 horas de estudo
627,1,371,26,6,341,0,14.483258173322056,adulto,,28 horas de estudo
929,1,750,26,6,419,0,30.39385193473962,adulto,,28 horas de estudo
609,1,600,26,6,507,0,24.09678316373003,adulto,,28 horas de estudo
1227,1,400,26,10,401,0,15.700691469050577,adulto,,28 horas de estudo
150,1,2500,26,3,395,0,103.85965426318484,adulto,,28 horas de estudo
